"","predict","p0","p1"
"1","1",0.561302915992982,0.438697084007018
"2","0",0.9631100104236,0.0368899895764001
"3","0",0.850800902123309,0.149199097876691
"4","0",0.768410216918025,0.231589783081975
"5","1",0.460953592039698,0.539046407960302
"6","1",0.227918254861659,0.772081745138341
"7","0",0.818395485246677,0.181604514753323
"8","0",0.897189832422943,0.102810167577057
"9","0",0.997913727346764,0.00208627265323626
"10","0",0.974138314922216,0.0258616850777839
"11","0",0.862717765451792,0.137282234548208
"12","0",0.93621082356714,0.0637891764328595
"13","0",0.850802537674512,0.149197462325488
"14","0",0.850800902123309,0.149199097876691
"15","1",0.724523180148184,0.275476819851816
"16","0",0.867849015852488,0.132150984147512
"17","0",0.803659242828276,0.196340757171724
"18","1",0.640160714744709,0.359839285255291
"19","0",0.991602426564461,0.00839757343553888
"20","1",0.724766378497556,0.275233621502444
"21","1",0.571520099009089,0.42847990099091
"22","1",0.668180008014936,0.331819991985064
"23","1",0.589593327521404,0.410406672478596
"24","0",0.850800902123309,0.149199097876691
"25","0",0.776948879621283,0.223051120378717
"26","0",0.853721566780145,0.146278433219855
"27","0",0.768162070426793,0.231837929573207
"28","0",0.897189832422943,0.102810167577057
"29","0",0.746696812482886,0.253303187517114
"30","1",0.561302915992982,0.438697084007018
"31","0",0.833728681636196,0.166271318363804
"32","0",0.996043884225546,0.00395611577445368
"33","0",0.843048848208063,0.156951151791937
"34","0",0.812539953790668,0.187460046209332
"35","0",0.825620106473516,0.174379893526484
"36","0",0.800733076555592,0.199266923444408
"37","0",0.816926624962298,0.183073375037702
"38","0",0.897189832422943,0.102810167577057
"39","1",0.635031793999622,0.364968206000378
"40","0",0.850800902123309,0.149199097876691
"41","0",0.800696548923988,0.199303451076012
"42","0",0.925644882367869,0.0743551176321312
"43","0",0.98696905879817,0.0130309412018302
"44","1",0.666172060251723,0.333827939748277
"45","0",0.921984334940788,0.0780156650592121
"46","0",0.843048848208063,0.156951151791937
"47","1",0.699235998190334,0.300764001809666
"48","0",0.9325561343006,0.0674438656993995
"49","0",0.897189832422943,0.102810167577057
"50","0",0.888889930178719,0.111110069821281
"51","1",0.542476196088921,0.457523803911079
"52","1",0.531779833398506,0.468220166601494
"53","0",0.882817480977631,0.117182519022369
"54","1",0.702029325512226,0.297970674487774
"55","0",0.985892663757027,0.0141073362429729
"56","0",0.896369104791987,0.103630895208013
"57","0",0.870885284360853,0.129114715639147
"58","1",0.647182335205204,0.352817664794797
"59","1",0.731114588066444,0.268885411933555
"60","1",0.576614097827289,0.423385902172711
"61","0",0.850800902123309,0.149199097876691
"62","0",0.918727312555749,0.081272687444251
"63","0",0.891070884060161,0.108929115939839
"64","0",0.74122393381367,0.25877606618633
"65","0",0.918727312555749,0.081272687444251
"66","0",0.940049778311787,0.0599502216882124
"67","0",0.948290239295549,0.0517097607044511
"68","0",0.955083881804088,0.0449161181959121
"69","0",0.746800111526549,0.253199888473451
"70","0",0.850800902123309,0.149199097876691
"71","0",0.869756810535031,0.130243189464969
"72","0",0.910763894327839,0.0892361056721615
"73","0",0.996964349245875,0.0030356507541254
"74","0",0.850800902123309,0.149199097876691
"75","0",0.989270812499639,0.0107291875003609
"76","0",0.940741809900161,0.0592581900998393
"77","0",0.913081738570258,0.0869182614297418
"78","0",0.846429169982718,0.153570830017282
"79","0",0.937937173647876,0.0620628263521243
"80","1",0.647182335205204,0.352817664794797
"81","0",0.996964349245875,0.0030356507541254
"82","0",0.768410216918025,0.231589783081975
"83","0",0.768162070426793,0.231837929573207
"84","0",0.800696548923988,0.199303451076012
"85","1",0.542476196088921,0.457523803911079
"86","0",0.961746743400642,0.0382532565993581
"87","0",0.867849015852488,0.132150984147512
"88","0",0.937798994520271,0.0622010054797293
"89","0",0.955083881804088,0.0449161181959121
"90","1",0.712544435973249,0.287455564026751
"91","0",0.850800902123309,0.149199097876691
"92","0",0.871253719656566,0.128746280343434
"93","0",0.921984334940788,0.0780156650592121
"94","0",0.926330136371878,0.0736698636281217
"95","0",0.884616632223307,0.115383367776693
"96","0",0.795169292749307,0.204830707250693
"97","1",0.672457608955014,0.327542391044986
"98","0",0.863919047889033,0.136080952110968
"99","0",0.988458932345534,0.0115410676544665
"100","0",0.818395485246677,0.181604514753323
"101","0",0.843048848208063,0.156951151791937
"102","0",0.934956554480401,0.0650434455195992
"103","0",0.975619199875619,0.0243808001243812
"104","0",0.784415491409058,0.215584508590942
"105","0",0.836654675059157,0.163345324940843
"106","1",0.679960253233727,0.320039746766273
"107","0",0.945459830661307,0.0545401693386929
"108","1",0.598950808481939,0.401049191518061
"109","0",0.850800902123309,0.149199097876691
"110","0",0.91560996855094,0.0843900314490603
"111","0",0.811890101062061,0.188109898937939
"112","0",0.850800902123309,0.149199097876691
"113","0",0.996043884225546,0.00395611577445368
"114","1",0.538121711188882,0.461878288811118
"115","0",0.768410216918025,0.231589783081975
"116","0",0.98904764222912,0.0109523577708799
"117","0",0.971442097060072,0.028557902939928
"118","1",0.583464790173541,0.416535209826459
"119","1",0.367187975343797,0.632812024656203
"120","0",0.787620305624737,0.212379694375263
"121","0",0.934956554480401,0.0650434455195992
"122","1",0.484523247496604,0.515476752503397
"123","0",0.880351086462476,0.119648913537524
"124","1",0.264656287531475,0.735343712468525
"125","1",0.626880390791025,0.373119609208975
"126","1",0.69846539710031,0.30153460289969
"127","0",0.756162921685893,0.243837078314107
"128","0",0.847462503325176,0.152537496674824
"129","0",0.880351086462476,0.119648913537524
"130","0",0.897477444449913,0.102522555550087
"131","1",0.672726009416232,0.327273990583768
"132","0",0.867849015852488,0.132150984147512
"133","0",0.814174163070816,0.185825836929184
"134","0",0.850800902123309,0.149199097876691
"135","0",0.812539953790668,0.187460046209332
"136","0",0.818395485246677,0.181604514753323
"137","0",0.867849015852488,0.132150984147512
"138","0",0.977700092143209,0.022299907856791
"139","1",0.337416919618861,0.662583080381139
"140","0",0.88616220865772,0.11383779134228
"141","1",0.145708955987878,0.854291044012122
"142","0",0.850800902123309,0.149199097876691
"143","0",0.768162070426793,0.231837929573207
"144","0",0.870885284360853,0.129114715639147
"145","0",0.850800902123309,0.149199097876691
"146","0",0.971442097060072,0.028557902939928
"147","0",0.981887751980223,0.0181122480197771
"148","1",0.694684365315199,0.305315634684801
"149","0",0.993648803931016,0.00635119606898402
"150","0",0.843048848208063,0.156951151791937
"151","0",0.983060153265291,0.0169398467347094
"152","1",0.445813510023513,0.554186489976487
"153","0",0.781681499543837,0.218318500456163
"154","0",0.938075066080962,0.061924933919038
"155","0",0.91538601313377,0.0846139868662295
